X,Y,OBJECTID,Facility,County,Address,City,ZipCode,Type,ResidentialWellsSampled,SiteLead,SiteLeadEmail,SiteLeadPhone,Hyperlink,Longitude,Latitude,Status,GlobalID
-83.361196282,44.47984324,16,Loud Drive,Iosco,No Address - large area of homes - E. side of Van Etten Lake,Oscoda,48750,MIlitary,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.36119628,44.47984324,Final,{BB2AE1F0-2DF0-486F-AC3A-B5FACF92DF39}
-83.388978358,44.484911821,17,Colbath Road,Iosco,No Address - large area of homes,Oscoda,48750,Fire Related,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.38897836,44.48491182,Final,{724729D3-7AEB-4999-9255-68CE6151342E}
-83.373654583,44.422969068,18,Oscoda Area Schools,Iosco,3550 River Road,Oscoda,48750,Unknown,Yes,Megan Berry,BerryM5Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.37365458,44.42296907,Final,{E84884E7-B99D-4F7E-A142-52085FE81076}
-83.421418473,44.5081149430001,19,McDonald Store Fire (aka F-41),Iosco,No address-business burned-corner of F-41 and King's Corner Road,Oscoda,48750,Fire Related,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.42141847,44.50811494,Final,{4E7BB15B-E167-48EA-9E02-73C790020B77}
-85.587289761,43.0336900780001,20,State Disposal Superfund,Kent,3954 East Beltline Rd,Grand Rapids,49525,Landfill,Yes,Courtney Fung,FungC@Michigan.gov,517-242-0008 ,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/state-disposal-superfund-site,-85.58728976,43.03369008,Final,{EB4397C6-B864-4F59-95B3-61BF6E14A104}
-84.5845251539999,42.7375366360001,21,"RACER Lansing Plants 2,3,6",Ingham,"2800 West Saginaw Street; 2801 West Saginaw Street; Corner of W. MI Ave and N. Verlinden",Lansing,48917,Industrial,No,Christine Matlock,MatlockC2@Michigan.gov,517-290-4612,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/racer-plants-2-3-6,-84.58452515,42.73753664,Final,{FFCBBBCA-98AA-4C81-95A9-B031B1885593}
-86.158,41.84061,22,M-60 Tanker Spill,Cass,2900 Pine Lake Street,Niles,49120,Fire Related,Yes,"Donovan Thomas
","ThomasD38@Michigan.gov 
","269-615-4451

",https://www.michigan.gov/pfasresponse/investigations/sites-aoi/cass-county/m-60-tanker-spill,-86.158,41.84061,Final,{66E16BB2-3DD8-4F27-A452-41348D169405}
-85.509773975,43.330375229,23,Central Sanitary Landfill,Montcalm,21545 W Cannonsville Road,Pierson,49339,Landfill,Yes,Kent Walters,WaltersK7@Michigan.gov ,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/montcalm-county/central-sanitary-landfill,-85.50977398,43.33037523,Final,{C1B911CF-03ED-4BC7-AA1B-2F9B8877B4F3}
-85.438792456,42.37701665,24,North 34th Street,Kalamazoo,9899 East D Ave,Richland,49083,Industrial,Yes,"Erica Bays
","BaysE@Michigan.gov 
","269-350-0080
",https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/north-34th-street,-85.43879246,42.37701665,Final,{85C1D8BC-B3E6-4B99-B987-B9483B67D796}
-85.6798262519999,44.6625904570001,25,"Carl's Retreading
",Grand Traverse,5175 Sawyer Woods Drive,Traverse City,49685,Fire Related,Yes,David Maynard,MaynardD@Michigan.gov,231-429-1656,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/grand-traverse-county/carls-retreading,-85.67982625,44.66259046,Final,{8C3B4F18-A2F4-4E58-B022-716D940B2575}
-85.574060446,42.3434693450001,26,Crown Vantage Property,Kalamazoo,100 Island Avenue (multiple addresses),Parchment,49004,Landfill,Yes,"Erica Bays
","BaysE@Michigan.gov 
","269-350-0080
",https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/crown-vantage-property,-85.57406045,42.34346935,Final,{45B0CF22-1C3E-4614-BE4A-5DBD146D2676}
-83.490335336,43.13406472,27,Richfield Landfill,Genesee,11145 East Mt Morris Rd,Davison,48423,Landfill,Yes,Evin Maguire,MaguireE@Michigan.gov ,517-388-3525,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/richfield-landfill,-83.49033534,43.13406472,Final,{9CDCF9DC-779E-489E-A3AE-A03854A60CA1}
-83.684711567,43.0415703620001,28,RACER Buick City,Genesee,902 East Leith St,Flint,48505,Industrial,No,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/racer-buick-city,-83.68471157,43.04157036,Final,{459A0D49-C229-4585-8EB7-2D123BCAFDDE}
-85.8529996679999,43.853199267,29,Wash King Laundry,Lake,9247 South M-37,Baldwin,49304,Laundromat/Dry Cleaner,Yes,Mark Riemann,ReimannM@michigan.gov,517-290-9379,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lake-county/wash-king-laundry,-85.85299967,43.85319927,Final,{F6226EFB-480D-4058-A396-7DB9B6F8FE50}
-85.535987076,42.9347220000001,30,Lacks Industries - Cascade,Kent,1601 Galbraith Ave SE,Grand Rapids,49546,Plating,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/lacks-industries-cascade,-85.53598708,42.934722,Final,{3A93F834-CFC2-43C4-9B4B-B301FA354ACC}
-86.327625643,44.2486795240001,31,Manistee Plating,Manistee,259 Sixth Ave,Manistee,49660,Plating,No,Kaitlyn Bertram,BertramK@Michigan.gov ,231-429-1256,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/manistee-county/manistee-plating,-86.32762564,44.24867952,Final,{7706CBF4-AF62-4C1F-878E-CC381FFE8860}
-82.834969057,42.607137084,32,Selfridge ANGB,Macomb,"No address - ANG base
",Harrison Charter Township,48045,Military,Yes,Arthur Ostaszewski,OstaszewskiA@Michigan.gov,517-936-7991,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/macomb-county/selfridge-air-national-guard-base-angb,-82.83496906,42.60713708,Final,{4762E904-9DDA-449C-BB60-2E32AC20434E}
-84.6550220779999,43.291652067,33,Ithaca Sanitary Landfill,Gratiot,West Washington Road,Ithaca,48847,Landfill,Yes,Emily Peabody,PeabodyE@Michigan.gov,517-388-5719,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/gratiot-county/ithaca-sanitary-landfill,-84.65502208,43.29165207,Final,{9DB5C63B-753F-4B21-A743-9F8F77D5344D}
-84.406515,42.253322,34,Michner Plating,Jackson,506 North Mechanic Street,Jackson,48912,Plating,No,Martha Thompson,ThompsonM31@Michigan.gov ,517-285-3461,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/jackson-county/michner-plating,-84.406515,42.253322,Final,{8995B3B4-1DDE-4E3E-B937-4437176CA660}
-83.4253399999999,42.37688,35,RACER Eckles Road,Wayne,"12950 Eckles Road
",Livonia,48150,Industrial,No,Jacob Runge,RungeJ@Michigan.gov ,517-242-8496,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/wayne-county/racer-12950-eckles-rd,-83.42534,42.37688,Final,{65F61527-29FE-4BD6-B7D5-29365C2D017A}
-83.76265803,42.9706896500001,36,Flint Bishop International Airport Landfill,Genesee,G-3425 West Bristol Road,Flint,48507,Landfill,Yes,Paul Bucholtz,BucholtzP@Michigan.gov ,517-243-7574,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/city-of-flint-landfill-at-bishop-international-airport,-83.76265803,42.97068965,Final,{61BB8D5F-27E2-4F29-847F-062A87F6867F}
-85.524636,42.88618,37,Gerald R. Ford International Airport,Kent,"5500 44th Street SW
",Grand Rapids,49512,Airport,Yes,Brent Ritchie,Ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/gerald-r-ford-international-airport,-85.524636,42.88618,Final,{290AB870-A6DE-46EF-9D78-00EE8FDB9BCB}
-85.191771,42.9309781000001,38,Lacks Industries - Saranac,Ionia,6138 Riverside Drive,Saranac,48881,Plating,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ionia-county/lacks-industries-saranac,-85.191771,42.9309781,Final,{531E01B2-6B84-4C6A-83BA-5D205CB50C6A}
-83.933129,42.6028220000001,39,Diamond Chrome Plating,Livingston,604 S. Michigan Avenue,Howell,48843,Plating,Yes,Emily Peabody,PeabodyE@Michigan.gov,517-388-5719,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/livingston-county/diamond-chrome-plating-dcp,-83.933129,42.602822,Final,{FE7C53E7-04C3-47FC-9E3A-F6CCBAC6AB60}
-84.6353999999999,43.3787800000001,40,MRP (former Total Petroleum Refinery),Gratiot,1610 East Superior Street,Alma,48801,Refinery,Yes,Marc Messina,MessinaM@Michigan.gov,517-219-2394,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/gratiot-county/mrp-properties,-84.6354,43.37878,Final,{0B2A154F-E4E2-4BDE-B8C8-4D6200AA82B9}
-85.303125,42.6488790000001,41,Viking Corporation,Barry,210 North Industrial Park Drive,Hastings,49058,Fire Related,No,Lynn Gosson,gossonl@michigan.gov,989-225-0161,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/barry-county/viking-corporation,-85.303125,42.648879,Final,{1847FB7C-493B-40AF-BD26-17CD37541B40}
-83.7838599999999,42.16024,42,Washtenaw Industrial Facility LLC (former Universal Die Cast),Washtenaw,232 and 290 Monroe Street,Saline,48176,Plating,Yes,Sam Cairns,cairnss2@michigan.gov,517-898-4058,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/washtenaw-industrial-facility,-83.78386,42.16024,Final,{ED2AB400-970C-4B63-94F4-B371A3C02FB4}
-82.469256,43.0423720000001,43,Fort Gratiot Landfill,St. Clair,3290 Keewahdin Road,Fort Gratiot Township,48059,Landfill,Yes,Allyson Hartz,HartzA1@Michigan.gov,586-256-0347,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/st-clair-county/fort-gratiot-landfill,-82.469256,43.042372,Final,{9C4EDAFA-7B82-44BD-80BA-BDD277FEF1B0}
-83.11834,42.45689,44,MacDermind Inc.,Oakland,1221 Farrow Street,Ferndale,48220,Industrial,No,Nathan Erber,ErberN@michigan.gov ,517-256-6063 ,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/oakland-county/macdermid-inc,-83.11834,42.45689,Final,{89C79D76-6385-4878-938C-AF776C1009A3}
-86.20833,43.2154800000001,45,"MAHLE Engine Components, USA, Inc. - Former Harvey Street Muskegon Plant",Muskegon,2051 South Harvey Street,Muskegon,49444,Industrial,N/A,Peter Van Heest,VanHeestP@Michigan.gov ,616-439-8019,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/mahle-engine-components,-86.20833,43.21548,Final,{547776CF-528D-433D-BB65-C1F48B64E819}
-83.102805801,42.302706991,46,Gordie Howe International Bridge,Wayne,Livernois Ave and W. Jefferson Ave,Detroit,48209,Industrial,No,Erik Gurshaw,HoinS@Michigan.gov ,586-487-0756,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/wayne-county/gordie-howe-international-bridge,-83.102806,42.302707,Final,{43648D48-8CE5-4031-817A-3521A88C8AB6}
-84.662734375,44.6856672960001,47,Camp Grayling – MATES at Range 30,Crawford,2450 W. North Down River Rd,Grayling,49738,Military,Yes,Christiaan Bon,BonC@Michigan.gov,989-370-9624,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/camp-grayling-mates,-84.662739,44.685681,Final,{A7D063FA-6247-484B-AD75-AA4B0ADB295B}
-86.0800070189999,42.761355006,48,636 40th Street East ,Allegan,636 East 40th Street,Holland,49423,Industrial,Yes,Ray Spaulding,SpauldingR1@Michigan.gov,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/allegan-county/636-40th-street-east,-86.080007,42.761355,Final,{2235AC38-BC98-42B0-9C29-6A2D50714F5B}
-83.764407572,42.175459109,49,Ford Motor Company – Saline Plant,Washtenaw,7700 Michigan Avenue,Saline,48176,Industrial,No,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/ford-saline-plant,-83.76441,42.17546,Final,{93A20641-1FFB-43BF-9642-FFF9A817A65B}
-85.729070227,42.9091958490001,50,Electro Chemical Finishing - Remico,Kent,2610 Remico Street SW,Wyoming,49519,Plating,N/A,Brent Ritchie,ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/electro-chemical-finishing-remico,-85.72907,42.909196,Final,{75450026-9542-4715-AD46-1F627C27BBDD}
-86.2229999909999,43.2049999930001,51,Peerless Plating,Muskegon,2554 Getty Avenue,Muskegon,49444,Plating,No,Nicolas Dawson,DawsonN1@Michigan.gov ,517-897-0912,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/peerless-plating,-86.223,43.205,Final,{3C480C77-DDEC-4400-B7FA-5FFCD43CF392}
-83.3802833239999,44.5054316850001,52,Oscoda Township Dump,Iosco,Kings Corner Road,Oscoda ,48750,Landfill,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.38028336,44.50543233,Final,{47B093CC-C341-44AA-9913-B38E924DEE3D}
-85.327143634,43.064660804,53,Ashley Avenue Disposal Area,Kent,Corner of Ashley Ave and 6 Mile Rd,Grattan,48809,Landfill,Yes,Leah Gies,GiesL1@Michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/ashley-avenue-disposal-area,-85.32714363,43.06466081,Final,{6736FCF6-3E2C-4BC6-A831-1B3B370B81AA}
-85.452787818,42.012649072,54,Lear Siegler Inc.,St. Joseph ,236 West Clark Street,Mendon,49072,Industrial,Yes,Ray Spaulding,SpauldingR1@Michigan.gov ,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/st-joseph-county/lear-siegler-inc,-85.452788,42.012649,Final,{56878B82-2E8E-4607-8A09-A6FB64EF9DA6}
-83.572771001,42.236693996,55,RACER Willow Run,Washtenaw,2930 Ecorse Rd,Ypsilanti,48198,Industrial,No,Ashley Lesser,LesserA@Michigan.gov,517-285-6324,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/racer-willow-run,-83.572771,42.236694,Final,{10AC55F1-8F0F-4688-A583-552F55C365D6}
-86.082219999,42.9869050080001,56,120th Avenue Area,Ottawa,Area around Robinson Elementary School,Grand Haven,49417,Fire Related,Yes,Kelly Moss,MossK@michigan.gov,616-215-4588,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ottawa-county/120th-avenue-area,-86.08222,42.986905,Final,{96263C54-C829-4EB4-90D1-F2E22030A3F0}
-83.760345717,42.5136659250001,57,Thermofil,Livingston,6150 Whitmore Lake Road,Brighton,48116,Industrial,Yes,Emily Peabody,PeabodyE@Michigan.gov,517-388-5719,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/livingston-county/thermofil,-83.760346,42.513666,Final,{D93FD7F6-2019-4DE2-8371-0FB4D95F7138}
-85.5575000059999,43.0627777650001,58,Northeast Gravel,Kent,3769 Cannonsburg Road NE,Belmont,49306,Landfill,Yes,Karen Vorce,VorceK@Michigan.gov,616-439-8008,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/northeast-gravel,-85.5575,43.06277778,Final,{79AF20C2-FE4B-4238-BD3A-A034045C5CF1}
-85.688408034,42.9347183400001,59,BASF Corporation – Inmont Division,Kent,836 Chicago Drive SW,Wyoming,49519,Industrial,No,Brent Ritchie,ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/basf-corporation-inmont-division,-85.688408,42.934718,Final,{C6CADE28-8841-4C8D-9D37-C030B24588B9}
-86.172331846,42.2010022060001,60,Du-Wel Metals,Van Buren,520 Heywood Street,Hartford,49057,Plating,Yes,Ray Spaulding,SpauldingR1@Michigan.gov ,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/van-buren-county/du-wel-metals,-86.172332,42.201002,Final,{A33907F8-17AB-4036-972B-E800B36AF961}
-86.214037071,43.209729843,61,Former ESCO,Muskegon,1221 E. Barney,Muskegon,49444,Industrial ,No,Matt Pfister,PfisterM@Michigan.gov,616-485-7861,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/former-esco,-86.21404,43.20973,Final,{DE4B138E-638A-4193-BF7E-786D2E29A19C}
-84.96443899,43.587080975,62,Isabella County Landfill,Isabella,West Tomah Road,Mount Pleasant,48858,Landfill,No,Lori Babcock,BabcockL4@Michigan.gov,989-460-7352 ,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/isabella-county-landfill,-84.964439,43.587081,Final,{89D07096-05FC-47CB-819F-304F38752B58}
-84.731516832,42.772375105,63,"Grand Ledge Army Aviation Support
Facility and Armory Site",Clinton,10600 W. Eaton Highway,Grand Ledge,48837,Military,Yes,Kim Sakowski,SakowskiK@Michigan.gov,517-582-2219,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/clinton-county/grand-ledge-armory,-84.73151667,42.772375,Final,{FFBDD26B-82D1-4531-A36B-9331E7BC7BFF}
-86.016639902,43.2371352870001,64,Muskegon County Landfill Type II,Muskegon,9366 Apple Ave,Ravenna,49451,Landfill,No,Kent Walters,WaltersK7@Michigan.gov ,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/muskegon-county-landfill-type-ii,-86.01664,43.237135,Final,{B90024FD-8586-4A3D-BEE4-2D9CFC7232C7}
-85.181879443,43.102951514,65,Pitsch Sanitary Landfill,Ionia,7905 Johnson Road,Belding,48809,Landfill,No,Kent Walters,WaltersK7@Michigan.gov ,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ionia-county/pitsch-sanitary-landfill,-85.18187,43.102954,Final,{289CBC41-F61E-454F-953B-4E27F0E42CE1}
-83.352220224,41.9032499090001,66,Ford River Raisin Warehouse,Monroe,3200 East Elm Avenue,Monroe,48162,Industrial,No,Christine Matlock,MatlockC2@Michigan.gov,517-290-4612,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/monroe-county/ford-river-raisin-warehouse,-83.35222,41.90325,Final,{D09C14D8-A408-4763-8253-75960C4C12AA}
-85.647594086,42.9346928620001,67,Cottage Grove and Marshall Area,Kent,"800 Block of Cottage Grove Street, SE and 1500 Block of Marshall Avenue, SE",Grand Rapids,49507,Plating,N/A,Brent Ritchie,ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/cottage-grove-and-marshall-area,-85.647594,42.934692,Final,{E0F75DC5-2EAE-4C17-82E7-148A59F3AFB2}
-85.600948005,42.907179984,68,Keeler Brass – 32nd Street,Kent,"2929 32nd Street, SE",Kentwood,49512,Plating,N/A,Brent Ritchie,Ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/former-keeler-brass-32nd-street,-85.600948,42.90718,Final,{014043EE-E3FF-4F65-8DAA-DBC12E7BCDB8}
-84.188079988,42.997889967,69,Partz Corporation,Shiawassee,1232 W. Main Street,Owosso,48867,Plating,N/A,Eric Van Riper,VanriperE@Michigan.gov,517-420-6785,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/shiawassee-county/partz-corporation,-84.18808,42.99789,Final,{739AEDB5-C2E9-4974-AF4C-8793956F119E}
-84.466400059,46.2666000300001,70,Former Kincheloe Air Force Base,Chippewa,,,49788,Military,Yes,Ashley Miller/Bill Harmon,MillerA65@Michigan.gov,906-235-7435,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/chippewa-county/kincheloe-air-force-base,-84.4664,46.2666,Final,{4E25C844-A96E-4518-9371-7B6D936C16F3}
-83.8307290399999,42.325296979,71,Former Chrysler Scio Introl Division Site,Washtenaw,2880 Zeeb Road,Dexter,48130,Industrial,Yes,Joseph Rogers,RogersJ5@Michigan.gov,517-555-5312,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/chrysler-scio-introl-division,-83.830729,42.325297,Final,{1F21AAA0-27C7-4DCA-897E-A58F8F32EF86}
-84.780722183,43.614108335,72,Mt. Pleasant City Landfill,Isabella,1301 North Franklin Street,Mount Pleasant,48858,Landfill,No,Larry Engelhart,EngelhartL@Michigan.gov ,989-891-6946,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/mt-pleasant-city-landfill,-84.7807222,43.6141083,Final,{D63E6EEA-84AD-449A-A216-C085B8EFF2F9}
-85.5948719629999,42.184107006,73,Portage Former Landfill and Firefighter Training Facility,Kalamazoo,South Westnedge,Portage,49002,Fire Related,Yes,Erica Bays,BaysE@Michigan.gov,269-350-0080,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/portage-former-landfill-ftf,-85.594872,42.184107,Final,{AC7524FE-DE76-46DF-B449-C546F97FFDE3}
-83.908050138,43.568949983,74,Middleground Landfill,Bay,Middleground Island,Bay City,48706,Landfill,No,Loren Curtis,CurtisL@Michigan.gov ,989-274-0614,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/bay-county/middleground-landfill,-83.90805,43.56895,Final,{AEA6DBB5-452A-4B27-9CD4-DAC650D57E92}
-85.550799964,42.2871399700001,75,Georgia Pacific Corporation,Kalamazoo,2425 King Highway,Kalamazoo,49048,Paper Manufacturing,N/A,Erica Bays,BaysE@Michigan.gov,269-350-0080,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/georgia-pacific-corporation,-85.5508,42.28714,Final,{ED4707EF-EE1D-49F0-9C36-FED8241BBA3E}
-86.239000049,43.1639999600001,76,Muskegon County Airport Area,Muskegon,99 Sinclair Dr,Muskegon,49441,Airport,Yes,Peter Van Heest,VanHeestP@Michigan.gov ,616-439-8019,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/muskegon-county-airport-area,-86.239,43.164,Final,{237DF57E-8D3F-4242-9CC0-9E9260877A3C}
