BOUNDARY_KEY,CREATE_USER_NAME,CREATE_TS,PREVIOUSLY_PUBLISHED_IND,DESCRIPTION,BEGIN_DATE,END_DATE,COMMENTS,MODIFY_USER_NAME,MODIFY_TS,DC4_DATUM_ID,CMC2_COORDINATE_METHOD_ID,PC2_PROXIMITY_ID,COLLECTOR_USER_NAME,COLLECTION_DATE,OIC_OBJECT_OF_INTEREST_ID,VSC1_VERIFICATION_STATUS_ID,VERIFICATION_DATE,VERIFIER_USER_NAME,PRIMARY_FACILITY_ID,PRIMARY_FACILITY_NAME,PRIMARY_SITE_ID,PRIMARY_SITE_NAME,PRIMARY_SITE_ADDRESS_LINE_1,PRIMARY_SITE_ADDRESS_LINE_2,PRIMARY_SITE_CITY,PRIMARY_SITE_ZIP5,PRIMARY_SITE_ZIP4,PRIMARY_SITE_STATE,PRIMARY_SITE_PROGRAM_TYPE_KEY,PRIMARY_SITE_MANAGING_PROGRAM,PRIMARY_SITE_DEP_OFFICE,PRIMARY_SITE_WMD,PRIMARY_SITE_DOCUMENTS,BOUNDARY_CONTROL_ID,BOUNDARY_CONTROL_NAME,BOUNDARY_MECHANISM_COUNTIES,BOUNDARY_MECHANISM_CATEGORIES,BOUNDARY_MECHANISM_TYPES,BOUNDARY_MECHANISM_BOOK_NUMS,BOUNDARY_MECHANISM_PAGE_NUMS,BOUNDARY_MECHANISM_INSTR_NUMS,BOUNDARY_MECHANISM_EFF_DATES,BOUNDARY_RESTRICTIONS,BOUNDARY_CONTAMINATED_MEDIA,BOUNDARY_CONTAMINATIONS,BOUNDARY_ENGINEERING_CONTROLS,ALL_FACILITY_IDS,ALL_FACILITY_NAMES,ALL_SITE_IDS,ALL_SITE_NAMES,OBJECTID
401,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:02+00,Y,EC MAINTENANCE,2013/03/11 00:00:00+00,,"Declaration of Restrictive Covenant recorded under instrument #201314001294 (3/11/13);
* Access Easement Agreement recorded under instrument #201314001215 (3/06/13).",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:02+00,SWIM,REVIEWED,,,STCM-9807231,WAL-MART DISTRIBUTION CTR #7023,ERIC_6843,WAL-MART DISTRIBUTION CTR #7023,6785 SOUTHWEST ENTERPRISE BOULEVARD,,ARCADIA,34269,,FL,PETROLEUM,Petroleum Restoration Program,SD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6843/gis-facility!search,IC-646,WAL-MART DISTRIBUTION CTR #7023,DeSoto,Recorded ICs,Declaration of Restrictive Covenant,INSTRUMEN,N/A,,11-MAR-13,EC Maintenance-Legacy,Soil,Metal-Arsenic-Legacy,Impermeable cap,STCM-9807231,WAL-MART DISTRIBUTION CTR #7023,ERIC_6843,WAL-MART DISTRIBUTION CTR #7023,21
825,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:31+00,Y,LAND USE RESTRICTION,2010/04/22 00:00:00+00,,Lead impacted soils are mixed with Neat Portland Cement to form a monument. This monument is buried with a minimum 2.0 foot clean soil cover. The monument is erosion secured on the south perimeter by a concrete wall constructed of Jersey Barriers.,WILLIAMS_CA,2021/03/04 08:45:30+00,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:31+00,SWIM,REVIEWED,,,STCM-8520366,GEORGIA-PACIFIC CORP,ERIC_6682,"GEORGIA PACIFIC, LLC PACKAGING FACILITY",400 STATE ROAD 70 WEST,,Lake Placid,33852,,FL,RCRA,Hazardous Waste Cleanup Program,SD,SFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6682/gis-facility!search,IC-621,"GEORGIA PACIFIC, LLC PACKAGING FACILITY","Highlands, Highlands","Recorded ICs, Recorded ICs","Declaration of Restrictive Covenant, Declaration of Restrictive Covenant","2235, 2235","1302, 1302-1310",,"22-APR-10, 22-APR-10","Dewatering, Digging, Groundwater Use, Land Use, Soil Exposure, Stormwater Features","Groundwater, Soil","Chromium (total), Lead, Metal-Lead-Legacy","Immobilization-Legacy, None, Permeable cap",STCM-8520366,GEORGIA-PACIFIC CORP,ERIC_6682,"GEORGIA PACIFIC, LLC PACKAGING FACILITY",22
306,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:55+00,Y,LSSI NFA ORDER,2014/03/14 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.

Residual PAHs exceeding BaP",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:55+00,SWIM,REVIEWED,,,STCM-9202583,SARA BAY COUNTRY CLUB,ERIC_7099,SARA BAY COUNTRY CLUB,7011 WILLOW STREET,,SARASOTA,34243,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_7099/gis-facility!search,IC-748,SARA BAY COUNTRY CLUB,Manatee,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,14-MAR-14,LSSI,Soil,PAH-Polycyclic Aromatic Hydrocarbons-Legacy,Impermeable cap,STCM-9202583,SARA BAY COUNTRY CLUB,ERIC_7099,SARA BAY COUNTRY CLUB,28
444,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:05+00,Y,LSSI NFA ORDER,2013/01/24 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:05+00,SWIM,REVIEWED,,,STCM-8510853,A P BELL FISH CO INC,ERIC_7027,A P BELL FISH COMPANY INC.,4531 123RD STREET WEST,,BRADENTON,34210,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_7027/gis-facility!search,IC-993,A P BELL FISH COMPANY INC.,Manatee,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,24-JAN-13,LSSI,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-8510853,A P BELL FISH CO INC,ERIC_7027,A P BELL FISH COMPANY INC.,30
345,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:58+00,Y,GROUNDWATER USE RESTRICTION,1998/09/24 00:00:00+00,, ,,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:58+00,SWIM,REVIEWED,,,STCM-9800329,WOLL RESIDENCE,ERIC_7093,WOLL RESIDENCE,6501 BAYOU HAMMOCK,,LONG BOAT KEY,34228,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_7093/gis-facility!search,IC-86,WOLL RESIDENCE,Manatee,Recorded ICs,Declaration of Restrictive Covenant,1569,1127-33,,24-SEP-98,Groundwater Use,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-9800329,WOLL RESIDENCE,ERIC_7093,WOLL RESIDENCE,31
1036,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:46+00,Y,LSSI NFA ORDER,2015/12/22 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:46+00,SWIM,REVIEWED,,,STCM-9300987,AUTOMOTIVE SPECIALTIES INC,ERIC_7020,AUTOMOTIVE SPECIALTIES INC.,1836 9TH STREET WEST,,BRADENTON,34205,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_7020/gis-facility!search,IC-989,AUTOMOTIVE SPECIALTIES INC.,Manatee,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,22-DEC-15,LSSI,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,Impermeable cap,STCM-9300987,AUTOMOTIVE SPECIALTIES INC,ERIC_7020,AUTOMOTIVE SPECIALTIES INC.,32
1038,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:46+00,Y,GROUNDWATER USE RESTRICTION,2016/08/30 00:00:00+00,,Off-site ROW Non-recorded IC,,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:46+00,SWIM,REVIEWED,,,FIESTA-129880,AMERICAN PLASTIC WORKS FACILITY,ERIC_6984,AMERICAN PLASTIC WORK,629 17th Ave W, ,Bradenton,34205,8319,FL,,,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6984/gis-facility!search,IC-998,AMERICAN PLASTIC WORK,Manatee,Memorandum of Agreement,MOA-Legacy,2636,3053,,30-AUG-16,Groundwater Use,Groundwater,Chlorinated Solvents-Legacy,None,FIESTA-129880,AMERICAN PLASTIC WORKS FACILITY,ERIC_6984,AMERICAN PLASTIC WORK,33
100,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:42+00,Y,GROUNDWATER USE RESTRICTION,2010/07/21 00:00:00+00,,Total Dissolved Solids,WILLIAMS_CA,2022/09/06 10:01:12+00,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:42+00,SWIM,REVIEWED,,,FIESTA-129264,TAYLOR RENTAL/FORMER STANLEY WORKS FACILITY,ERIC_6978,TAYLOR RENTAL/FORMER STANLEY WORKS FACILITY,204 44th Ave E,,Bradenton,34203,3527,FL,,,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6978/gis-facility!search,IC-537,TAYLOR RENTAL/FORMER STANLEY WORKS FACILITY,Manatee,Recorded ICs,Declaration of Restrictive Covenant,2347,1871,,29-JUL-10,"Dewatering, Groundwater Use, Stormwater Features",Groundwater,"Benzene, Naphthalene, TDS",None,FIESTA-129264,TAYLOR RENTAL/FORMER STANLEY WORKS FACILITY,ERIC_6978,TAYLOR RENTAL/FORMER STANLEY WORKS FACILITY,34
188,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:47+00,Y,GROUNDWATER USE RESTRICTION,2002/02/21 00:00:00+00,, ,,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:47+00,SWIM,REVIEWED,,,STCM-9100004,BURNETT DAIRY,ERIC_7018,FORMER NURMETT DAIRY,38TH AVENUE & US 301,,BRADENTON,34206,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_7018/gis-facility!search,IC-84,FORMER BURNETT DAIRY,Manatee,Recorded ICs,Declaration of Restrictive Covenant,1730,4662,,21-FEB-02,Groundwater Use,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-9100004,BURNETT DAIRY,ERIC_7018,FORMER NURMETT DAIRY,37
826,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:31+00,Y,EC MAINTENANCE,2011/08/31 00:00:00+00,, ,HUNTER_W,2023/08/24 09:24:57+00,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:31+00,SWIM,NOT REVIEWED,,,STCM-8623923,MANATEE CNTY SCHOOL BD-MATZKE COMPLEX,ERIC_7012,SCHOOL BOARD OF MANATEE COUNTY - MATZKE COMPLEX FUEL ISLAND,2800 27TH STREET EAST,,BRADENTON,34208,,FL,"PETROLEUM, RESPONSPARTY","Petroleum Restoration Program, Responsible Party Cleanup",SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_7012/gis-facility!search,IC-624,SCHOOL BOARD OF MANATEE COUNTY - MATZKE COMPLEX FUEL ISLAND,Manatee,Recorded ICs,Declaration of Restrictive Covenant,2406,2768-2764,,31-AUG-11,EC Maintenance-Legacy,Soil,PAH-Polycyclic Aromatic Hydrocarbons-Legacy,Impermeable cap,STCM-8623923,MANATEE CNTY SCHOOL BD-MATZKE COMPLEX,ERIC_7012,SCHOOL BOARD OF MANATEE COUNTY - MATZKE COMPLEX FUEL ISLAND,38
912,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:37+00,Y,GROUNDWATER USE RESTRICTION,2013/10/30 00:00:00+00,, ,,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:37+00,SWIM,REVIEWED,,,FIESTA-107671,Greyhawk Landing West,ERIC_6990,AURORA FOUNDATION POLE BARN,"GREYHAWK LANDING WEST, LOTS 489 & 490",,BRADENTON,34212,,FL,,,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6990/gis-facility!search,IC-715,AURORA FOUNDATION PLOE BARN,Manatee,Recorded ICs,Declaration of Restrictive Covenant,2496,2066,,30-OCT-13,Groundwater Use,Groundwater,Metal-Arsenic-Legacy,None,FIESTA-107671,Greyhawk Landing West,ERIC_6990,AURORA FOUNDATION POLE BARN,41
461,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:06+00,Y,LSSI NFA ORDER,2015/02/25 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:06+00,SWIM,REVIEWED,,,STCM-8510877,CIRCLE K #2709763,ERIC_7011,CIRCLE K #2709763,6521 HIGHWAY 64 EAST,,BRADENTON,34208,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_7011/gis-facility!search,IC-839,CIRCLE K #2709763,Manatee,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,25-FEB-15,LSSI,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-8510877,CIRCLE K #2709763,ERIC_7011,CIRCLE K #2709763,42
896,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:36+00,Y,GROUNDWATER USE RESTRICTION,2009/10/13 00:00:00+00,,The groundwater is restricted for pH until the parameter comes back into acceptable limits.,WILLIAMS_CA,2021/10/18 15:01:29+00,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:36+00,SWIM,REVIEWED,,,FIESTA-129864,701 9TH STREET WEST AKA KALIN FINANCIAL COMPANY,ERIC_6980,701 9TH STREET WEST SITE,701 9th St W, ,Bradenton,34205,8656,FL,,,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6980/gis-facility!search,IC-373,701 9TH STREET WEST SITE,"Manatee, Manatee","Recorded ICs, Recorded ICs","Declaration of Restrictive Covenant, Declaration of Restrictive Covenant","2305, 2305","5426, 5426",,"13-OCT-09, 15-JUL-09","Dewatering, Groundwater Use, Stormwater Features",Groundwater,"Benzene, Dichloroethene, 1,2- (mixture), Dichloroethene, cis-1,2-, Ethylbenzene, Lead, Metal-Other-Legacy, Methyl tert-butyl ether, Methylnaphthalene, 1-, Methylnaphthalene, 2-, Naphthalene, TCE, TRPH, Tetrachlorobenzene, 1,2,4,5, Total Xylenes, methylbenzene",None,FIESTA-129864,701 9TH STREET WEST AKA KALIN FINANCIAL COMPANY,ERIC_6980,701 9TH STREET WEST SITE,45
